Project Name,Package Name,Architecture Smell,Cause of the Smell,,Justification
coder-gate,com.github.codergate.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JwtUtilsTest; JwtUtils; RestClient; WebHookListenerUtilTest; WebHookListenerUtil; MapperTest; Mapper]; [InsightUtilTest; InsightUtil]; [PullRequestUtil]; [Constants]. LCC (Lack of Component Cohesion) = 0.36,,"Due to three tier Architecture, Utils component was created so that it can provide utility classes or methods for all services"
coder-gate,com.github.codergate.controllers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BranchControllerTest]; [RepositoryControllerTest]; [UserControllerTest]; [WebhookListenerControllerTest]; [ThresholdControllerTest]; [GithubOAuthController]; [DashboardController]; [BranchController]; [EventController]; [InsightController]; [RepositoryController]; [WebhookListenerController]; [ThresholdController]; [AnalysisController]; [UserController]. LCC (Lack of Component Cohesion) = 1.0,,"Due to three tier Architecture, controller component contains all the controllers for different features."
coder-gate,com.github.codergate.dto.analysis,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Solution; Analysis; Designate; Project; ArchSmells; DesignSmells; ImplementationSmells]; [ImplementationSmell; Entity; ArchSmell; DesignSmell]; [AnalysisDTO]. LCC (Lack of Component Cohesion) = 0.25,,"analysis component contains all DTOS related to analysis, seperating them will reduce code readability"
coder-gate,com.github.codergate.dto.installation,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InstallationPayloadDTO; Sender; Installation; Permissions; AccountDTO]; [RepositoriesRemovedDTO]; [RepositoriesAddedDTO]; [RepositoriesDTO]. LCC (Lack of Component Cohesion) = 0.5,,"installatiuon component contains all DTOS related to analysis, seperating them will reduce code readability"
coder-gate,com.github.codergate.repositories,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TagRepository]; [EventRepository]; [BranchRepository]; [ThresholdRepository]; [RepositoryRepository]; [UserRepository]; [AnalysisRepository]. LCC (Lack of Component Cohesion) = 1.0,,"Due to three tier Architecture, repsoitories component contains all the repositories which are mapped to different tables."
